0.5,0.05,1,12,0.28822,0.4697,0
0.5,0.05,10,12,0.28821,0.46965,0
0.5,0.05,100,12,0.28804,0.46915,0
0.5,0.05,1000,12,0.28594,0.4634,0
0.5,0.05,5000,12,0.25555,0.4152,0
0.5,0.05,10000,12,0.21228,0.35296,0
0.5,0.05,40000,10,0.12259,0.16496,0
0.5,0.05,70000,10,0.098229,0.11795,0
0.5,0.05,1e+05,10,0.09345,0.11264,0
0.5,0.05,2e+05,10,0.078584,0.066633,0
0.5,0.05,4e+05,11,0.0696,0.04543,0
0.5,0.05,6e+05,11,0.064173,0.03226,0
0.5,0.05,8e+05,11,0.062001,0.025762,0
0.5,0.05,1e+06,11,0.059798,0.021105,0
2,0.05,1,22,0.50787,1.0326,0
2,0.05,10,22,0.50785,1.0326,0
2,0.05,100,22,0.5076,1.032,0
2,0.05,1000,22,0.4984,1.0194,0
2,0.05,5000,22,0.42658,0.92395,0
2,0.05,10000,22,0.35416,0.8156,0
2,0.05,40000,21,0.22525,0.55869,0
2,0.05,70000,20,0.18198,0.43339,0
2,0.05,1e+05,20,0.15824,0.37184,0
2,0.05,2e+05,19,0.12192,0.24205,0
2,0.05,4e+05,18,0.096018,0.14412,0
2,0.05,6e+05,17,0.085647,0.10497,0
2,0.05,8e+05,17,0.079942,0.083761,0
2,0.05,1e+06,17,0.076361,0.070787,0
4,0.05,1,33,0.65377,1.4515,0
4,0.05,10,33,0.65375,1.4515,0
4,0.05,100,33,0.65152,1.4486,0
4,0.05,1000,32,0.66275,1.4737,0
4,0.05,5000,31,0.56978,1.3661,0
4,0.05,10000,30,0.45967,1.2114,0
4,0.05,40000,25,0.28521,0.8655,0
4,0.05,70000,23,0.22562,0.66086,0
4,0.05,1e+05,23,0.20245,0.59356,0
4,0.05,2e+05,22,0.15466,0.39716,0
4,0.05,4e+05,22,0.1205,0.27452,0
4,0.05,6e+05,22,0.10431,0.2042,0
4,0.05,8e+05,22,0.096615,0.17205,0
4,0.05,1e+06,23,0.094073,0.16578,0
6,0.05,1,41,0.7734,1.7964,0
6,0.05,10,41,0.77338,1.7964,0
6,0.05,100,41,0.77315,1.796,0
6,0.05,1000,40,0.77831,1.8142,0
6,0.05,5000,38,0.67647,1.7062,0
6,0.05,10000,36,0.5379,1.5173,0
6,0.05,40000,27,0.34517,1.1514,0
6,0.05,70000,24,NaN,NaN,0
6,0.05,1e+05,23,0.2204,0.71049,0
6,0.05,2e+05,22,0.16414,0.43685,0
6,0.05,2.0004e+05,22,0.16413,0.43679,0
6,0.05,4e+05,25,0.13414,0.35444,0
6,0.05,6e+05,25,0.1212,0.30293,0
6,0.05,8e+05,25,0.1104,0.25856,0
6,0.05,1e+06,24,0.1012,0.21173,0
